Year,Name,Chinese Name,JMA ID,"Highest TC Warning Signal Issued During this Passage",Times of Passages,"Issuance Date of First TC Warning Signal During this Passage","Cancellation Date of all TC Warning Signal During this Passage","Duration of all Issued TC Warning Signals During this Passage (hh:mm)","Lifespan Max Intensity Classification","Estimated Min Central Pressure of the TC (hPa) when Closest to HK","Closest Distance to HK (km)","Closest Approach Bearing"
2011,Nesat,納沙,1117,8,1,27/09/2011,30/09/2011,55:45,T,965,350,SSW
2011,Nalgae,尼格,1119,3,1,02/10/2011,03/10/2011,32:30,ST,980,510,S
2012,Talim,泰利,1205,3,1,17/06/2012,19/06/2012,52:20,STS,978,260,SE
2012,Doksuri,杜蘇芮,1206,8,1,28/06/2012,30/06/2012,34:35,TS,988,70,SW
2012,Vicente,韋森特,1208,10,1,21/07/2012,24/07/2012,79:35,ST,950,100,SW
2012,Kai-tak,啟德,1213,8,1,15/08/2012,17/08/2012,44:15,T,975,260,SSW
2012,Tembin,天秤,1214,1,1,24/08/2012,26/08/2012,42:00,ST,965,290,ESE
2013,Bebinca,貝碧嘉,1305,3,1,21/06/2013,22/06/2013,27:35,TS,985,340,SSW
2013,Rumbia,溫比亞,1306,3,1,30/06/2013,02/07/2013,36:30,STS,980,385,SSW
2013,Cimaron,西馬侖,1308,1,1,17/07/2013,18/07/2013,16:20,TS,994,390,E
2013,Jebi,飛燕,1309,3,1,01/08/2013,02/08/2013,36:35,STS,980,430,SW
2013,Utor,尤特,1311,8,1,12/08/2013,15/08/2013,72:35,SuperT,950,240,WSW
2013,Usagi,天兔,1319,8,1,21/09/2013,23/09/2013,47:45,SuperT,950,80,N
2013,Krosa,羅莎,1329,1,1,01/11/2013,03/11/2013,55:30,ST,980,220,S
2014,Hagibis,海貝思,1407,1,1,14/06/2014,15/06/2014,19:40,TS,988,260,E
2014,Rammasun,威馬遜,1409,3,1,16/07/2014,19/07/2014,52:00,SuperT,915,390,SW
2014,no name,無名,NR,1,1,07/09/2014,08/09/2014,23:30,TD,998,360,SW
2014,Kalmaegi,海鷗,1415,8,1,14/09/2014,17/09/2014,50:35,T,965,370,SSW
2015,Kujira,鯨魚,1508,1,1,21/06/2015,23/06/2015,34:00,TS,988,510,SW
2015,Linfa,蓮花,1510,8,1,08/07/2015,10/07/2015,46:10,T,994,50,N
2015,Mujigae,彩虹,1522,3,1,02/10/2015,05/10/2015,56:40,ST,960,320,SSW
2016,no name,無名,NR,3,1,26/05/2016,27/05/2016,25:10,TD,1000,170,W
2016,Mirinae,銀河,1603,1,1,26/07/2016,26/07/2016,14:40,STS,995,490,SSW
2016,Nida,妮妲,1604,8,1,31/07/2016,02/08/2016,43:00,T,976,40,NNW
2016,Dianmu,電母,1608,3,1,17/08/2016,18/08/2016,25:45,TS,990,220,SW
2016,Meranti,莫蘭蒂,1614,1,1,14/09/2016,15/09/2016,18:10,SuperT,984,460,NE
2016,Megi,鮎魚,1617,1,1,28/09/2016,28/09/2016,14:30,ST,988,390,NE
2016,Aere,艾利,1619,1,1,06/10/2016,09/10/2016,55:05,TS,988,260,ESE
2016,Sarika,莎莉嘉,1621,3,1,16/10/2016,18/10/2016,48:50,SuperT,955,520,SW
2016,Haima,海馬,1622,8,1,20/10/2016,21/10/2016,37:50,SuperT,965,110,ENE
2017,Merbok,苗柏,1702,8,1,11/06/2017,13/06/2017,39:30,STS,984,25,E
2017,Roke,洛克,1707,8,1,22/07/2017,23/07/2017,28:00,TS,998,25,NE
2017,Hato,天鴿,1713,10,1,22/08/2017,23/08/2017,36:00,SuperT,955,60,SSW
2017,Pakhar,帕卡,1714,8,1,26/08/2017,27/08/2017,36:30,STS,980,90,SW
2017,Mawar,瑪娃,1716,3,1,02/09/2017,04/09/2017,59:50,STS,1002,120,NNE
2017,no name,無名,NR,1,1,23/09/2017,24/09/2017,20:10,TD,996,470,SSW
2017,Khanun,卡努,1720,8,1,14/10/2017,16/10/2017,39:40,ST,960,210,SSW
2018,Ewiniar,艾雲尼,1804,3,1,05/06/2018,08/06/2018,79:00,TS,996,200,WNW
2018,Son-Tinh,山神,1809,3,1,17/07/2018,18/07/2018,31:00,TS,992,340,S
2018,Son-Tinh,山神,1809,1,2,23/07/2018,24/07/2018,19:00,TS,995,410,WSW
2018,Bebinca,貝碧嘉,1816,3,1,09/08/2018,15/08/2018,132:05,STS,984,150,SSW
2018,Barijat,百里嘉,1823,3,1,11/09/2018,13/09/2018,45:00,TS,998,150,S
2018,Mangkhut,山竹,1822,10,1,14/09/2018,17/09/2018,68:50,SuperT,950,100,SSW
2018,Yutu,玉兔,1826,3,1,31/10/2018,02/11/2018,47:30,SuperT,1002,270,SE
2019,Mun,木恩,1904,1,1,02/07/2019,03/07/2019,13:25,TD,994,440,SSW
2019,Wipha,韋帕,1907,8,1,30/07/2019,02/08/2019,65:00,TS,985,310,SSW
2019,Bailu,白鹿,1911,1,1,24/08/2019,25/08/2019,28:40,STS,998,280,N
2019,Podul,楊柳,1912,1,1,28/08/2019,29/08/2019,21:40,TS,988,560,S
2019,Kajiki,劍魚,1914,3,1,01/09/2019,03/09/2019,48:40,TD,996,330,S
2020,Nuri,鸚鵡,2002,3,1,12/06/2020,14/06/2020,41:00,TS,998,190,SSW
2020,Sinlaku,森拉克,2003,3,1,31/07/2020,01/08/2020,26:35,TS,992,550,SSW
